,Year,optimal_h,rra,ara
Ireland,2017,3.7300000000000004,1.2861386178995775,2.0173882991580933e-05
Ireland,2018,3.7300000000000004,1.1503253654106111,1.7320838219706634e-05
Ireland,2019,3.7300000000000004,1.6010226158889278,2.721058628604187e-05
Ireland,2020,3.7300000000000004,1.216892415944067,1.870465302807848e-05
Ireland,2021,3.7300000000000004,0.7913306638728297,1.038953371472508e-05
Ireland,2022,3.7300000000000004,1.1362324282874365,1.7031558629317992e-05
Ireland,2023,3.7300000000000004,8.663554476106809,0.0002733028150092846
Ireland,2024,3.7300000000000004,15.992440817452891,0.0006315078195869206
Iceland,2013,2.3500000000000005,2.4467642479760996,3.9439990612359645e-05
Iceland,2014,2.3500000000000005,2.2357804371338954,3.371042425047095e-05
Iceland,2015,2.3500000000000005,2.29179202641781,3.5194136106782246e-05
Iceland,2016,2.3500000000000005,1.8025399878740604,2.317010180028653e-05
Iceland,2017,2.3500000000000005,1.5326466976758952,1.747049441748825e-05
Iceland,2018,2.3500000000000005,1.4972495114829312,1.6774144446298468e-05
Iceland,2019,2.3500000000000005,1.6875499194548196,2.0658250038329286e-05
Iceland,2020,2.3500000000000005,2.0293016512112145,2.847799576176785e-05
Iceland,2021,2.3500000000000005,1.8052194030160855,2.3230088661247055e-05
Iceland,2022,2.3500000000000005,1.7974792255676915,2.3056981349976085e-05
Iceland,2023,2.3500000000000005,1.7496685611962282,2.1999950140833413e-05
Iceland,2024,2.3500000000000005,1.7040288049686478,2.1010673956923056e-05
Israel,2013,3.59,1.8178506140092832,4.567507103886581e-06
Israel,2014,3.59,1.7042642619130948,4.176754606160561e-06
Israel,2015,3.59,1.5135538380487872,3.5432406081732934e-06
Israel,2016,3.59,1.5599528153189706,3.694684807533097e-06
Israel,2017,3.59,1.4543762703902512,3.352678195464281e-06
Israel,2018,3.59,1.5557242623975671,3.6808100649208418e-06
Israel,2019,3.59,1.4045327294524927,3.194475016582043e-06
Israel,2020,3.59,2.618820283097224,7.576035289812158e-06
Israel,2021,3.59,2.6585017427938378,7.735617048556754e-06
Israel,2022,3.59,2.4381083136244066,6.861196047068928e-06
Israel,2023,3.59,2.232675221267623,6.0731324864214275e-06
Israel,2024,3.59,1.4897102711457548,3.466107364083415e-06
Italy,2013,1.9800000000000004,7.436734855367878,4.145146152902637e-05
Italy,2014,1.9800000000000004,7.75186780066988,4.5077083138402645e-05
Italy,2015,1.9800000000000004,9.507974233690243,6.80971462091369e-05
Italy,2016,1.9800000000000004,9.536102238738323,6.85047835787655e-05
Italy,2017,1.9800000000000004,9.599241001697157,6.942427960232372e-05
Italy,2018,1.9800000000000004,9.223078539409144,6.403760767145027e-05
Italy,2019,1.9800000000000004,10.331197463391891,8.053603000573824e-05
Italy,2020,1.9800000000000004,10.659100222026531,8.57841239102608e-05
Italy,2021,1.9800000000000004,10.015367401673654,7.563929710470217e-05
Italy,2022,1.9800000000000004,11.381592916484346,9.793844423916574e-05
Italy,2023,1.9800000000000004,10.379832666622887,8.13038709962577e-05
Italy,2024,1.9800000000000004,10.014172949229833,7.562107233075869e-05
Japan,2013,1.9100000000000001,1.5689039776700782,3.121357078385983e-05
Japan,2014,1.9100000000000001,1.6537342507686932,3.486133169084574e-05
Japan,2015,1.9100000000000001,1.7488001246844784,3.920068462356887e-05
Japan,2016,1.9100000000000001,1.8561101863662417,4.442001955357023e-05
Japan,2017,1.9100000000000001,1.9176770324091412,4.756897228272522e-05
Japan,2018,1.9100000000000001,1.9111301406925385,4.7228752072442126e-05
Japan,2019,1.9100000000000001,1.9074164261898168,4.703633093150304e-05
Japan,2020,1.9100000000000001,1.950810670290807,4.931043910204402e-05
Japan,2021,1.9100000000000001,2.016043662760466,5.2834946987590107e-05
Japan,2022,1.9100000000000001,2.48823118097407,8.217534098309792e-05
Japan,2023,1.9100000000000001,2.6031824039378786,9.034603388985555e-05
Japan,2024,1.9100000000000001,2.747175667820207,0.00010115450830256532
Lithuania,2013,0.6200000000000001,2.39290810542869,0.00012163972129215008
Lithuania,2014,0.6200000000000001,2.431613426929547,0.00011849655892388085
Lithuania,2015,0.6200000000000001,2.283087127340762,0.00013133043875714602
Lithuania,2016,0.6200000000000001,2.3166349365439762,0.00012824166650226746
Lithuania,2017,0.6200000000000001,2.404566929951692,0.00012067891567890634
Lithuania,2018,0.6200000000000001,2.519219955741795,0.00011184738462265328
Lithuania,2019,0.6200000000000001,2.523149282106642,0.00011156333421926879
Lithuania,2020,0.6200000000000001,2.5539264654111684,0.00010937813160996844
Lithuania,2021,0.6200000000000001,2.6572458634812586,0.0001025248738216937
Lithuania,2022,0.6200000000000001,2.6216083160448647,0.00010480855036110655
Lithuania,2023,0.6200000000000001,2.699516724451812,9.991850789935708e-05
Lithuania,2024,0.6200000000000001,2.737085180784576,9.769058911749831e-05
Luxembourg,2013,1.2400000000000002,1.4581367660446447,1.3114734664786847e-05
Luxembourg,2014,1.2400000000000002,1.4570626780829725,1.3064898447461352e-05
Luxembourg,2015,1.2400000000000002,1.5568108727586105,1.839446178386687e-05
Luxembourg,2016,1.2400000000000002,1.5460971332112894,1.774973332072962e-05
Luxembourg,2017,1.2400000000000002,1.5149979723888087,1.5980759978807495e-05
Luxembourg,2018,1.2400000000000002,1.5024113986607137,1.5306562056077284e-05
Luxembourg,2019,1.2400000000000002,1.538472828947553,1.730211868075996e-05
Luxembourg,2020,1.2400000000000002,1.528471421196167,1.672879516767041e-05
Luxembourg,2021,1.2400000000000002,1.5171192759886176,1.6096708589424038e-05
Luxembourg,2022,1.2400000000000002,1.6005776014140076,2.122747280917937e-05
Luxembourg,2023,1.2400000000000002,1.581190973452362,1.9932151613904765e-05
Luxembourg,2024,1.2400000000000002,1.5812111795328168,1.993346766860054e-05
Latvia,2013,1.5600000000000005,2.0367724941972485,0.00011287951460055161
Latvia,2014,1.5600000000000005,1.9952331305966533,0.00010658255518440792
Latvia,2015,1.5600000000000005,2.1567790362186927,0.00013239656443482975
Latvia,2016,1.5600000000000005,2.122542191032788,0.00012662454290584331
Latvia,2017,1.5600000000000005,2.043478658687407,0.00011391790182494755
Latvia,2018,1.5600000000000005,1.9389830438284839,9.842118037746834e-05
Latvia,2019,1.5600000000000005,1.9535617227722513,0.0001004964796886118
Latvia,2020,1.5600000000000005,1.9350549626586304,9.78667516293444e-05
Latvia,2021,1.5600000000000005,1.8524638048398643,8.666900063857007e-05
Latvia,2022,1.5600000000000005,1.9280662483986464,9.688528772525472e-05
Latvia,2023,1.5600000000000005,1.8553639492487672,8.704751045198813e-05
Latvia,2024,1.5600000000000005,1.8552486118451448,8.703243709871217e-05
Mexico,2013,2.17,2.93875324880098,5.073303839441484e-05
Mexico,2014,2.17,3.065504512293536,5.486607975729213e-05
Mexico,2015,2.17,3.7620648351916075,8.021063151731272e-05
Mexico,2016,2.17,5.265267263562836,0.0001496261154065605
Mexico,2017,2.17,5.774096086928411,0.00017754701210044007
Mexico,2018,2.17,5.03417278373651,0.00013767497593324653
Mexico,2019,2.17,4.762060584720809,0.00012419243454580103
Mexico,2020,2.17,5.989120445754458,0.00019000465364770665
Mexico,2021,2.17,4.942419035698821,0.00013305727710386412
Mexico,2022,2.17,4.723464727536612,0.00012233203017060745
Mexico,2023,2.17,3.852239663374529,8.381298055650508e-05
Mexico,2024,2.17,3.709792492732269,7.815586123609888e-05
Malaysia,2013,2.1900000000000004,3.4693192095851564,0.00023558096187180274
Malaysia,2014,2.1900000000000004,3.3765697964465073,0.00022412078796528237
Malaysia,2015,2.1900000000000004,4.037665134697218,0.0003114530908515891
Malaysia,2016,2.1900000000000004,4.128345810452259,0.00032444725651409643
Malaysia,2017,2.1900000000000004,4.039524700779781,0.0003117171219895475
Malaysia,2018,2.1900000000000004,4.762753786967,0.0004220811611419716
Malaysia,2019,2.1900000000000004,5.238184098640057,0.0005028558327245867
Malaysia,2020,2.1900000000000004,6.025756625984903,0.0006507177672466066
Malaysia,2021,2.1900000000000004,6.175433487429124,0.000680774111291163
Malaysia,2022,2.1900000000000004,6.297929056804709,0.0007058325464441241
Malaysia,2023,2.1900000000000004,6.5689067945931905,0.0007627307352732612
Malaysia,2024,2.1900000000000004,6.5689067945931905,0.0007627307352732612
Netherlands,2013,0.25,1.141942659606001,1.786335669871984e-05
Netherlands,2014,0.25,1.1406273720504032,1.7870220297369915e-05
Netherlands,2015,0.25,1.0092193363367836,1.86144117031268e-05
Netherlands,2016,0.25,1.0230247762998699,1.85303000722071e-05
Netherlands,2017,0.25,1.05953072021432,1.831498855922887e-05
Netherlands,2018,0.25,1.1219364498909166,1.7968910692525953e-05
Netherlands,2019,0.25,1.1366585164955252,1.7890995207135702e-05
Netherlands,2020,0.25,1.1513172932521138,1.7814740209429977e-05
Netherlands,2021,0.25,1.1659141176269139,1.7740083068928468e-05
Netherlands,2022,0.25,1.0505610044429592,1.836696551988575e-05
Netherlands,2023,0.25,1.0851593604452061,1.816965421965503e-05
Netherlands,2024,0.25,1.1067014236373052,1.8050989486025632e-05
